fecha,cierre
2015-10-18,261.05
2015-10-19,263.66
2015-10-20,270.64
2015-10-21,267.89
2015-10-22,275.21
2015-10-23,278.60
2015-10-24,282.84
2015-10-25,283.96
2015-10-26,286.90
2015-10-27,295.54
2015-10-28,305.67
2015-10-29,314.82
2015-10-30,328.65
2015-10-31,310.18
2015-11-01,325.78
2015-11-02,361.26
2015-11-03,404.06
2015-11-04,408.00
2015-11-05,385.50
2015-11-06,374.47
2015-11-07,383.53
2015-11-08,372.65
2015-11-09,377.90
2015-11-10,336.80
2015-11-11,309.91
2015-11-12,337.17
2015-11-13,336.99
2015-11-14,333.00
2015-11-15,319.28
2015-11-16,330.83
2015-11-17,336.08
2015-11-18,335.65
2015-11-19,326.02
2015-11-20,322.04
2015-11-21,326.50
2015-11-22,324.20
2015-11-23,323.48
2015-11-24,319.70
2015-11-25,328.90
2015-11-26,353.21
2015-11-27,357.14
2015-11-28,356.95
2015-11-29,371.48
2015-11-30,376.71
2015-12-01,363.06
2015-12-02,358.89
2015-12-03,361.42
2015-12-04,363.62
2015-12-05,388.00
2015-12-06,388.24
2015-12-07,395.57
2015-12-08,417.89
2015-12-09,416.98
2015-12-10,415.57
2015-12-11,453.04
2015-12-12,436.19
2015-12-13,433.07
2015-12-14,443.36
2015-12-15,464.53
2015-12-16,455.87
2015-12-17,456.17
2015-12-18,462.46
2015-12-19,461.80
2015-12-20,442.54
2015-12-21,438.07
2015-12-22,435.48
2015-12-23,442.56
2015-12-24,455.00
2015-12-25,455.51
2015-12-26,417.39
2015-12-27,421.76
2015-12-28,421.46
2015-12-29,431.82
2015-12-30,425.84
2015-12-31,430.89
2016-01-01,433.82
2016-01-02,433.55
2016-01-03,431.04
2016-01-04,434.17
2016-01-05,432.43
2016-01-06,429.56
2016-01-07,457.00
2016-01-08,452.70
2016-01-09,448.84
2016-01-10,448.79
2016-01-11,448.00
2016-01-12,434.85
2016-01-13,432.64
2016-01-14,429.55
2016-01-15,360.00
2016-01-16,386.91
2016-01-17,380.16
2016-01-18,385.49
2016-01-19,376.76
2016-01-20,416.32
2016-01-21,409.59
2016-01-22,382.55
2016-01-23,386.40
2016-01-24,402.16
2016-01-25,390.90
2016-01-26,391.77
2016-01-27,394.95
