fecha,valor
2009-01-29,63.266666666666666
2009-01-30,12.146666666666668
2009-01-31,4.553571428571428
2009-02-01,2.1703703703703705
2009-02-02,1.2111959287531806
2009-02-03,0.7566539923954374
2009-02-04,0.397897897897898
2009-02-05,0.20496083550913835
2009-02-06,0.14004914004914015
2009-02-07,0.11177884615384603
2009-02-08,0.09269988412514496
2009-02-09,0.14947856315179608
2009-02-10,0.14491017964071862
2009-02-11,0.2346298619824343
2009-02-12,0.25578406169665824
2009-02-13,0.11123723041997735
2009-02-14,-0.004153686396677125
2009-02-15,0.02111932418162632
2009-02-16,0.017297297297297343
2009-02-17,0.006437768240343367
2009-02-18,-0.05705394190871371
2009-02-19,-0.055780933062880345
2009-02-20,-0.004287245444801635
2009-02-21,0.05957943925233655
2009-02-22,0.03337169159953968
2009-02-23,-0.07683982683982682
2009-02-24,-0.09559613319011806
2009-02-25,-0.10184182015167931
2009-02-26,-0.14331896551724144
2009-02-27,-0.108108108108108
2009-02-28,-0.13255567338282082
2009-03-01,-0.2036290322580645
2009-03-02,-0.17364016736401677
2009-03-03,-0.1890243902439025
2009-03-04,-0.15762538382804514
2009-03-05,-0.14504596527068436
2009-03-06,-0.1637122002085506
2009-03-07,-0.1685625646328851
2009-03-08,-0.10626992561105197
2009-03-09,-0.10341151385927505
2009-03-10,-0.08250825082508262
2009-03-11,-0.12137486573576795
2009-03-12,-0.11840688912809483
2009-03-13,-0.08599779492833526
2009-03-14,-0.07572383073496658
2009-03-15,-0.049237983587338774
2009-03-16,0.03681710213776701
2009-03-17,0.06151990349819059
2009-03-18,0.12578616352201255
2009-03-19,0.08484848484848495
2009-03-20,0.09902200488997548
2009-03-21,0.06202531645569631
2009-03-22,0.07215189873417716
2009-03-23,0.011278195488721776
2009-03-24,-0.03037667071688943
2009-03-25,-0.06093189964157697
2009-03-26,0.009975062344139696
2009-03-27,-0.023631840796019987
2009-03-28,0.04042806183115344
2009-03-29,0.022592152199762294
2009-03-30,0.01918465227817756
2009-03-31,0.08557457212713926
2009-04-01,0.08058608058608052
2009-04-02,0.030156815440289586
2009-04-03,0.04096385542168668
2009-04-04,0.0320591861898889
2009-04-05,-0.004581901489117968
2009-04-06,-0.025000000000000022
2009-04-07,-0.08938547486033521
2009-04-08,-0.09944134078212297
2009-04-09,-0.12124582869855383
2009-04-10,-0.0679380214541121
2009-04-11,-0.059031877213695405
2009-04-12,-0.0384138785625775
2009-04-13,-0.01754385964912286
2009-04-14,0.027989821882951516
2009-04-15,0.007407407407407529
2009-04-16,0.07006369426751591
2009-04-17,-0.035428571428571476
2009-04-18,-0.015116279069767424
2009-04-19,-0.0023529411764706687
2009-04-20,0.08896396396396389
2009-04-21,0.09378531073446328
2009-04-22,0.1428571428571428
2009-04-23,0.07407407407407418
2009-04-24,0.11230585424133821
2009-04-25,0.05638665132336018
2009-04-26,0.06993006993007
2009-04-27,-0.03558282208588959
2009-04-28,-0.0347394540942928
2009-04-29,0.02025316455696191
2009-04-30,0.10230179028132991
2009-05-01,0.08908406524466739
2009-05-02,0.14948453608247414
2009-05-03,0.11479591836734704
2009-05-04,0.14975247524752477
2009-05-05,0.1740196078431373
2009-05-06,0.12380952380952381
2009-05-07,0.10781990521327023
2009-05-08,0.08736717827626928
2009-05-09,0.010613207547169878
2009-05-10,-0.13960703205791103
2009-05-11,-0.1776859504132231
2009-05-12,-0.2008196721311475
2009-05-13,-0.17887931034482762
2009-05-14,-0.1568206229860365
2009-05-15,-0.10239651416122009
2009-05-16,-0.057734204793028265
2009-05-17,0.1539440203562341
2009-05-18,0.15938303341902316
2009-05-19,0.06451612903225801
2009-05-20,-0.001160092807424573
2009-05-21,-0.08064516129032262
2009-05-22,-0.20067264573991028
2009-05-23,-0.2837528604118993
2009-05-24,-0.35522066738428426
2009-05-25,-0.3841336116910229
2009-05-26,-0.33368644067796605
2009-05-27,-0.32834224598930495
2009-05-28,-0.30401737242128135
2009-05-29,-0.1283547257876313
2009-05-30,-0.009615384615384692
2009-05-31,0.03015075376884413
2009-06-01,0.00512820512820511
2009-06-02,0.01049868766404205
2009-06-03,-0.08025477707006368
2009-06-04,-0.15898058252427183
2009-06-05,-0.35722543352601155
2009-06-06,-0.47629547960308716
2009-06-07,-0.5620842572062084
2009-06-08,-0.5291375291375291
2009-06-09,-0.554006968641115
2009-06-10,-0.5050125313283208
2009-06-11,-0.4137447405329593
2009-06-12,-0.24281150159744413
2009-06-13,-0.12520868113522532
2009-06-14,-0.016949152542372947
2009-06-15,-0.07472178060413359
2009-06-16,-0.10509554140127375
2009-06-17,-0.12792511700468012
2009-06-18,-0.26372155287817933
2009-06-19,-0.3313106796116505
2009-06-20,-0.32804878048780495
2009-06-21,-0.2857142857142857
2009-06-22,-0.2038961038961039
2009-06-23,-0.14404432132963985
2009-06-24,-0.07792207792207784
2009-06-25,0.16546762589928043
2009-06-26,0.3705263157894736
2009-06-27,0.6632911392405063
2009-06-28,0.5445544554455444
2009-06-29,0.48958333333333326
2009-06-30,0.481012658227848
2009-07-01,0.3444976076555024
2009-07-02,0.17721518987341778
2009-07-03,0.04961832061068683
2009-07-04,-0.04310344827586199
2009-07-05,0.0068728522336769515
2009-07-06,0.040925266903914403
2009-07-07,0.010733452593917558
2009-07-08,0.02181818181818196
2009-07-09,0.021778584392014633
2009-07-10,0.019963702359346858
2009-07-11,-0.0071428571428571175
2009-07-12,-0.09624796084828713
2009-07-13,-0.11326860841423947
2009-07-14,-0.14241001564945222
2009-07-15,-0.19907407407407407
2009-07-16,-0.22580645161290325
2009-07-17,-0.28462709284627097
2009-07-18,-0.3733974358974359
2009-07-19,-0.32867132867132864
2009-07-20,-0.14871794871794874
2009-07-21,-0.09074733096085419
2009-07-22,-0.05734767025089604
2009-07-23,-0.034545454545454435
2009-07-24,0.003603603603603567
2009-07-25,-0.0017064846416381396
2009-07-26,-0.0837606837606838
2009-07-27,-0.26017699115044246
2009-07-28,-0.3291814946619218
2009-07-29,-0.3978685612788633
2009-07-30,-0.501779359430605
2009-07-31,-0.5971223021582734
2009-08-01,-0.6028880866425993
2009-08-02,-0.5948905109489051
2009-08-03,-0.708029197080292
2009-08-04,-0.6146435452793834
2009-08-05,-0.4742063492063493
2009-08-06,-0.2808510638297872
2009-08-07,0.31202046035805653
2009-08-08,0.47135416666666674
2009-08-09,0.2911646586345382
2009-08-10,0.38160469667318986
2009-08-11,0.3212927756653994
2009-08-12,0.26365348399246713
2009-08-13,0.1956912028725315
2009-08-14,-0.08205128205128209
2009-08-15,-0.09888059701492535
2009-08-16,-0.04066985645933019
2009-08-17,-0.09018567639257291
2009-08-18,-0.16519174041297935
2009-08-19,-0.15000000000000002
2009-08-20,-0.21875
2009-08-21,-0.42727272727272725
2009-08-22,-0.5180180180180181
2009-08-23,-0.35625000000000007
2009-08-24,-0.495
2009-08-25,-0.4679245283018868
2009-08-26,-0.3520710059171598
2009-08-27,-0.5594541910331384
2009-08-28,-0.49203539823008846
2009-08-29,-0.44323483670295494
2009-08-30,-0.3739376770538243
2009-08-31,-0.2517985611510791
2009-09-01,-0.18330849478390454
2009-09-02,-0.2222222222222222
2009-09-03,0.05214152700186214
2009-09-04,0.14699792960662528
2009-09-05,0.376558603491272
2009-09-06,0.5189504373177842
2009-09-07,0.8374558303886925
2009-09-08,1.1470588235294117
2009-09-09,1.8514285714285719
2009-09-10,2.888888888888889
2009-09-11,3.6074766355140184
2009-09-12,3.718446601941748
2009-09-13,3.881188118811881
2009-09-14,2.368794326241135
2009-09-15,1.0547945205479454
2009-09-16,1.079646017699115
2009-09-17,1.0522648083623691
2009-09-18,0.6759776536312847
2009-09-19,0.36877828054298645
2009-09-20,0.1692307692307693
2009-09-21,0.11678832116788307
2009-09-22,0.22393822393822393
2009-09-23,0.05486725663716818
2009-09-24,-0.08483754512635366
2009-09-25,-0.007246376811594124
2009-09-26,0.10172744721689053
2009-09-27,0.15384615384615374
2009-09-28,0.18786692759295498
2009-09-29,0.35070140280561124
2009-09-30,0.4755102040816328
2009-10-01,0.4361054766734278
2009-10-02,0.382716049382716
2009-10-03,0.2778904665314401
2009-10-04,0.21894736842105256
2009-10-05,0.21999999999999997
2009-10-06,0.008510638297872353
2009-10-07,-0.2376910016977929
2009-10-08,-0.2716666666666666
2009-10-09,-0.28264462809917357
2009-10-10,-0.2516447368421053
2009-10-11,-0.2222222222222222
2009-10-12,-0.12776025236593058
2009-10-13,-0.07382550335570459
2009-10-14,0.10650887573964485
2009-10-15,0.025547445255474477
2009-10-16,0.08536585365853666
2009-10-17,0.0016666666666667052
2009-10-18,0.0032948929159803964
2009-10-19,-0.126112759643917
2009-10-20,0.008298755186721962
2009-10-21,0.07203389830508478
2009-10-22,0.21726190476190488
2009-10-23,0.215873015873016
2009-10-24,0.34542314335060476
2009-10-25,0.40801457194899826
2009-10-26,0.5443037974683544
2009-10-27,0.3719376391982183
2009-10-28,0.33409610983981697
2009-10-29,0.24884792626728114
2009-10-30,0.12747252747252746
2009-10-31,0.027310924369748024
2009-11-01,-0.20795660036166363
2009-11-02,-0.2753623188405797
2009-11-03,-0.320855614973262
2009-11-04,-0.25266903914590755
2009-11-05,-0.377207062600321
2009-11-06,-0.35108153078202997
2009-11-07,-0.32183908045977017
2009-11-08,-0.21731748726655342
2009-11-09,-0.3251028806584362
2009-11-10,-0.33069828722002637
2009-11-11,-0.36430317848410754
2009-11-12,-0.30939947780678856
2009-11-13,-0.27984595635430043
2009-11-14,-0.26131953428201815
2009-11-15,-0.1885245901639344
2009-11-16,0.017857142857142794
2009-11-17,0.09948542024013718
2009-11-18,0.11254612546125453
2009-11-19,0.3450292397660817
2009-11-20,0.3946830265848671
2009-11-21,0.54337899543379
2009-11-22,0.7149999999999999
2009-11-23,0.7979002624671916
2009-11-24,0.6333333333333333
2009-11-25,0.7963917525773194
2009-11-26,0.6102564102564101
2009-11-27,0.4915254237288136
